,Dates,Traveler,Member,Party,State / District,Destination,Sponsor,Filing Type
20,"Aug. 26, 2023 - Sept. 1, 2023",Debra Lesko,Debbie Lesko,R,AZ-8,"Oslo, Norway","The Aspen Institute, Inc. Congressional Program)",Original
21,"Aug. 26, 2023 - Sept. 1, 2023",David Rouzer,David Rouzer,R,NC-7,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
22,"Aug. 27, 2023 - Sept. 1, 2023",Kevin Diamond,Lisa Blunt Rochester,D,DE-1,Lithuania,"Atlantic Council of the United States, Inc.",Original
23,"Aug. 27, 2023 - Sept. 1, 2023",Kevin Diamond,Lisa Blunt Rochester,D,DE-1,Poland,"Atlantic Council of the United States, Inc.",Original
24,"Aug. 26, 2023 - Sept. 1, 2023",Kim Schrier,Kim Schrier,D,WA-8,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
25,"Aug. 26, 2023 - Sept. 1, 2023",Michael Guest,Michael Guest,R,MS-3,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
26,"Aug. 26, 2023 - Sept. 1, 2023",Debbie Lesko,Debbie Lesko,R,AZ-8,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
27,"Aug. 29, 2023 - Aug. 31, 2023",Quinn O'Connor,Wiley Nickel,D,NC-13,"Fargo, ND",Red River Valley Sugarbeet Education Foundation and Red River Valley Sugarbeet Growers Association,Original
28,"Aug. 30, 2023 - Aug. 31, 2023",Hannah Fraher,Bryan Steil,R,WI-1,"Nashville, TN",SoundExchange,Original
29,"Aug. 30, 2023 - Aug. 31, 2023",Paula Nicole Manley,Ben Cline,R,VA-6,"Nashville, TN",SoundExchange,Original
30,"Aug. 29, 2023 - Aug. 31, 2023",Robert Redding,A. Drew Ferguson,R,GA-3,"Fargo, ND",Red River Valley Sugarbeet Education Foundation and Red River Valley Sugarbeet Growers,Original
31,"Aug. 29, 2023 - Aug. 31, 2023",Brian Duckworth,Jeffrey Jackson,D,NC-14,"Fargo, ND",Red River Valley Sugarbeet Education Foundation and Red River Valley Sugarbeet Growers,Original
32,"Aug. 30, 2023 - Aug. 31, 2023",Elliott Tomlinson,Bryan Steil,R,WI-1,"Nashville, TN",SoundExchange,Original
33,"Aug. 29, 2023 - Aug. 31, 2023",Faith Tuttle,Elise Stefanik,R,NY-21,"Fargo, ND",Red River Valley Sugarbeet Education Foundation and Red River Valley Sugarbeet Growers Association,Original
34,"Aug. 29, 2023 - Aug. 31, 2023",Jacob Glasser,Wiley Nickel,D,NC-13,"Fargo, ND",Red River Valley Sugarbeet Education Foundation and Red River Valley Sugarbeet Growers,Original
35,"Aug. 29, 2023 - Aug. 31, 2023",Tyler Levins,Julia Letlow,R,LA-5,"Fargo, ND",Red River Valley Sugarbeet Education Foundation,Original
36,"Aug. 26, 2023 - Aug. 31, 2023",James Johnson,Frank Pallone,D,NJ-6,"Georgia, Armenia, Azerbaijan",International Committee of the Red Cross,Original
37,"Aug. 29, 2023 - Aug. 31, 2023",John Cooper,Doris Matsui,D,CA-7,"Fargo, ND",Red River Valley Sugarbeet Education Foundation and Red River Valley Sugarbeet Growers,Original
38,"Aug. 29, 2023 - Aug. 31, 2023",Nathaniel Dullea,Donald G. Davis,D,NC-1,"Fargo, ND",Red River Valley Sugarbeet Education Fund,Original
39,"Aug. 26, 2023 - Aug. 30, 2023","Thomas Kean, Jr.",Thomas Kean,R,NJ-7,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
40,"Aug. 23, 2023 - Aug. 28, 2023",Stephen Wooldridge,Blake Moore,R,UT-1,"Boston, MA",Center Forward,Original
41,"Aug. 23, 2023 - Aug. 28, 2023",Zachary Isakowitz,Michael McCaul,R,TX-10,"Boston, MA",Center Forward,Original
42,"Aug. 19, 2023 - Aug. 27, 2023",Philip Singleton,Rich McCormick,R,GA-6,Moldova,Center for Strategic and International Studies,Original
43,"Aug. 19, 2023 - Aug. 27, 2023",Philip Singleton,Rich McCormick,R,GA-6,Poland,Center for Strategic and International Studies,Original
44,"Aug. 19, 2023 - Aug. 27, 2023",Philip Singleton,Rich McCormick,R,GA-6,Ukraine,Center for Strategic and International Studies,Original
45,"Aug. 19, 2023 - Aug. 27, 2023",Sally Fox,Tom Emmer,R,MN-6,Moldova,Center for Strategic and International Studies,Original
46,"Aug. 19, 2023 - Aug. 27, 2023",Sally Fox,Tom Emmer,R,MN-6,Poland,Center for Strategic and International Studies,Original
47,"Aug. 19, 2023 - Aug. 27, 2023",Sally Fox,Tom Emmer,R,MN-6,Ukraine,Center for Strategic and International Studies,Original
48,"Aug. 19, 2023 - Aug. 27, 2023",Daniel Ramirez,Joe Wilson,R,SC-2,"Moldova,",Center for Strategic and International Studies,Original
49,"Aug. 19, 2023 - Aug. 27, 2023",Daniel Ramirez,Joe Wilson,R,SC-2,"Poland,",Center for Strategic and International Studies,Original
0,"Aug. 19, 2023 - Aug. 27, 2023",Daniel Ramirez,Joe Wilson,R,SC-2,Ukraine,Center for Strategic and International Studies,Original
1,"Aug. 19, 2023 - Aug. 27, 2023",Philip Singleton,Rich McCormick,R,GA-6,"Poland,",Center for Strategic and International Studies,Original
2,"Aug. 19, 2023 - Aug. 27, 2023",Philip Singleton,Rich McCormick,R,GA-6,"Ukraine,",Center for Strategic and International Studies,Original
3,"Aug. 19, 2023 - Aug. 27, 2023",Philip Singleton,Rich McCormick,R,GA-6,Moldova,Center for Strategic and International Studies,Original
4,"Aug. 19, 2023 - Aug. 27, 2023",Sally Fox,Tom Emmer,R,MN-6,"Moldova,",Center for Strategic and International Studies,Original
5,"Aug. 19, 2023 - Aug. 27, 2023",Philip Singleton,Rich McCormick,R,GA-6,Poland,Center for Strategic and International Studies,Original
6,"Aug. 19, 2023 - Aug. 27, 2023",Sally Fox,Tom Emmer,R,MN-6,"Poland,",Center for Strategic and International Studies,Original
7,"Aug. 19, 2023 - Aug. 27, 2023",Philip Singleton,Rich McCormick,R,GA-6,Ukraine,Center for Strategic and International Studies,Original
8,"Aug. 19, 2023 - Aug. 27, 2023",Sally Fox,Tom Emmer,R,MN-6,Moldova,Center for Strategic and International Studies,Original
9,"Aug. 19, 2023 - Aug. 27, 2023",Sally Fox,Tom Emmer,R,MN-6,Poland,Center for Strategic and International Studies,Original
10,"Aug. 19, 2023 - Aug. 27, 2023",Sally Fox,Tom Emmer,R,MN-6,Ukraine,Center for Strategic and International Studies,Original
11,"Aug. 19, 2023 - Aug. 27, 2023",Andrew Bower,Robert Garcia,D,CA-42,Moldova,Center for Strategic and International Studies,Original
12,"Aug. 19, 2023 - Aug. 27, 2023",Andrew Bower,Robert Garcia,D,CA-42,"Poland,",Center for Strategic and International Studies,Original
13,"Aug. 19, 2023 - Aug. 27, 2023",Andrew Bower,Robert Garcia,D,CA-42,"Ukraine,",Center for Strategic and International Studies,Original
14,"Aug. 19, 2023 - Aug. 27, 2023",Angele Griffin,Colin Allred,D,TX-32,Moldova,Center for Strategic and International Studies,Original
15,"Aug. 19, 2023 - Aug. 27, 2023",Angele Griffin,Colin Allred,D,TX-32,"Poland,",Center for Strategic and International Studies,Original
16,"Aug. 19, 2023 - Aug. 27, 2023",Angele Griffin,Colin Allred,D,TX-32,"Ukraine,",Center for Strategic and International Studies,Original
17,"Aug. 19, 2023 - Aug. 27, 2023",Andrew Bower,Robert Garcia,D,CA-42,"Moldova,",Center for Strategic and International Studies,Original
18,"Aug. 19, 2023 - Aug. 27, 2023",Andrew Bower,Robert Garcia,D,CA-42,Ukraine,Center for Strategic and International Studies,Original
19,"Aug. 19, 2023 - Aug. 27, 2023",Angele Griffin,Colin Allred,D,TX-32,"Moldova,",Center for Strategic and International Studies,Original
20,"Aug. 19, 2023 - Aug. 27, 2023",Angele Griffin,Colin Allred,D,TX-32,Ukraine,Center for Strategic and International Studies,Original
21,"Aug. 19, 2023 - Aug. 26, 2023",Nicolas Ruiz,Keith Self,R,TX-3,Mozambique,World Vision Inc.,Original
22,"Aug. 23, 2023 - Aug. 26, 2023",Christopher Hall,Thomas Kean,R,NJ-7,"Boston, MA",Center Forward,Original
23,"Aug. 22, 2023 - Aug. 26, 2023",Deepa Patel,David Trone,D,MD-6,"Boston, MA",Center Forward,Original
24,"Aug. 23, 2023 - Aug. 26, 2023",Gabrielle Fazekas,Scott Franklin,R,FL-18,"Boston, MA",Center Forward,Original
25,"Aug. 19, 2023 - Aug. 26, 2023",Arion Laws,Sara Jacobs,D,CA-51,Mozambique,World Vision Inc.,Original
26,"Aug. 19, 2023 - Aug. 26, 2023",Gabrielle Howard,Sydney Kamlager-Dove,D,CA-37,Mozambique,World Vision Inc.,Original
27,"Aug. 19, 2023 - Aug. 26, 2023",Sheyla Marimon,Steven Horsford,D,NV-4,"Chisinau, Moldova",Center for Strategic and International Studies,Original
28,"Aug. 19, 2023 - Aug. 26, 2023",Sheyla Marimon,Steven Horsford,D,NV-4,"Kyiv, Ukraine",Center for Strategic and International Studies,Original
29,"Aug. 19, 2023 - Aug. 26, 2023",Sheyla Marimon,Steven Horsford,D,NV-4,"Lviv, Ukraine",Center for Strategic and International Studies,Original
30,"Aug. 19, 2023 - Aug. 26, 2023",Sheyla Marimon,Steven Horsford,D,NV-4,"Rzeszow, Poland",Center for Strategic and International Studies,Original
31,"Aug. 19, 2023 - Aug. 26, 2023",Sheyla Marimon,Steven Horsford,D,NV-4,"Warsaw, Poland",Center for Strategic and International Studies,Original
32,"Aug. 19, 2023 - Aug. 26, 2023",Stephanie Buesser,Elise Stefanik,R,NY-21,"Maputo, Mozambique",World Vision Inc.,Original
33,"Aug. 19, 2023 - Aug. 26, 2023",Stephanie Buesser,Elise Stefanik,R,NY-21,"Nampula, Mozambique",World Vision Inc.,Original
34,"Aug. 23, 2023 - Aug. 26, 2023",Erin Gooley,Brendan Boyle,D,PA-2,"Boston, MA",Center Forward,Original
35,"Aug. 19, 2023 - Aug. 26, 2023",Jamari Hartley,Michael Lawler,R,NY-17,Mozambique,World Vision Inc.,Original
36,"Aug. 23, 2023 - Aug. 26, 2023",Amber Ray,Lisa Blunt Rochester,D,DE-1,"Boston, MA",Center Forward,Original
37,"Aug. 23, 2023 - Aug. 26, 2023",Jesse von Stein,James Baird,R,IN-4,"Boston, MA",Center Forward,Original
38,"Aug. 23, 2023 - Aug. 26, 2023",Cameryn Blackmore,Terri Sewell,D,AL-7,"Boston, MA",Center Forward,Original
39,"Aug. 23, 2023 - Aug. 26, 2023",Leighton Huch,Ann McLane Kuster,D,NH-2,"Boston, MA",Center Forward,Original
40,"Aug. 23, 2023 - Aug. 26, 2023",Natalie Hellmann,Buddy Carter,R,GA-1,"Boston, MA",Center Forward,Original
41,"Aug. 23, 2023 - Aug. 26, 2023",Donald Pollard,Jennifer McClellan,D,VA-4,"Boston, MA",Center Forward,Original
42,"Aug. 23, 2023 - Aug. 26, 2023",Emma Zafran,Chrissy Houlahan,D,PA-6,"Boston, MA",Center Forward,Original
43,"Aug. 23, 2023 - Aug. 26, 2023",Tracey Mann,Tracey Mann,R,KS-1,El Salvador,Guatemala Prospera,Original
44,"Aug. 23, 2023 - Aug. 26, 2023",Tracey Mann,Tracey Mann,R,KS-1,Guatemala,Guatemala Prospera,Original
45,"Aug. 23, 2023 - Aug. 26, 2023",George Pulizzi,Nancy Mace,R,SC-1,"Boston, MA",Center Forward,Original
46,"Aug. 25, 2023 - Aug. 26, 2023",Pete Sessions,Pete Sessions,R,TX-17,"Beaver Creek, CO",Steamboat Institute,Original
47,"Aug. 25, 2023 - Aug. 26, 2023",Cody Patterson,Pete Sessions,R,TX-17,"Beaver Creek, CO",Steamboat Institute,Original
48,"Aug. 23, 2023 - Aug. 26, 2023",Skylar Borchardt,Angie Craig,D,MN-2,"Boston, MA",Center Forward,Original
49,"Aug. 19, 2023 - Aug. 26, 2023",Alyson Dallas,Austin Scott,R,GA-8,Mozambique,World Vision Inc.,Original
0,"Aug. 23, 2023 - Aug. 26, 2023",Troy Dougall,John Curtis,R,UT-3,"Boston, MA",Center Forward,Original
1,"Aug. 19, 2023 - Aug. 26, 2023",Anna May,Michael Guest,R,MS-3,Mozambique,World Vision Inc.,Original
2,"Aug. 23, 2023 - Aug. 26, 2023",Megan McCorquodale,Joe Neguse,D,CO-2,"Boston, MA",Center Forward,Original
3,"Aug. 19, 2023 - Aug. 26, 2023",Sheyla Marimon,Steven Horsford,D,NV-4,"Moldova,",Center for Strategic and International Studies,Original
4,"Aug. 19, 2023 - Aug. 26, 2023",Sheyla Marimon,Steven Horsford,D,NV-4,"Poland,",Center for Strategic and International Studies,Original
5,"Aug. 19, 2023 - Aug. 26, 2023",Sheyla Marimon,Steven Horsford,D,NV-4,Ukraine,Center for Strategic and International Studies,Original
6,"Aug. 19, 2023 - Aug. 26, 2023",Stephanie Buesser,Elise Stefanik,R,NY-21,Mozambique,World Vision Inc.,Original
7,"Aug. 23, 2023 - Aug. 26, 2023",Juliana Dauchess,Lloyd Smucker,R,PA-11,"Boston, MA",Center Forward,Original
8,"Aug. 21, 2023 - Aug. 25, 2023",Kristen Kurtz,Dusty Johnson,R,SD-1,"Boise, ID",Leadership Idaho Agriculture Foundation,Amendment
9,"Aug. 21, 2023 - Aug. 25, 2023",Janey Green,Mary Miller,R,IL-15,"Boise, ID",Leadership Idaho Agriculture Foundation,Original
10,"Aug. 23, 2023 - Aug. 25, 2023",Jaylene Kennedy,Cory Mills,R,FL-7,"Chesterfield, MO",St. Louis AgriBusiness Club,Original
11,"Aug. 23, 2023 - Aug. 25, 2023",Antwoin Monach,Hank Johnson,D,GA-4,"Chesterfield, MO",St. Louis AgriBusiness Club,Original
12,"Aug. 23, 2023 - Aug. 25, 2023",Caroline Briscoe,Tom Tiffany,R,WI-7,"Cambridge, MD","Conservative Partnership Institute, Inc.",Original
13,"Aug. 23, 2023 - Aug. 25, 2023",William Dwyer,Robin Kelly,D,IL-2,"Chesterfield, MO",St. Louis Agribusiness Club,Original
14,"Aug. 23, 2023 - Aug. 25, 2023",Saisha White,Frederica Wilson,D,FL-24,"Chesterfield, MO",St. Louis AgriBusiness,Original
15,"Aug. 21, 2023 - Aug. 25, 2023",Noah Yantis,Dan Newhouse,R,WA-4,"Boise, ID",Leadership Idaho Agriculture Foundation,Original
16,"Aug. 21, 2023 - Aug. 25, 2023",Lorene Parker,Rick Allen,R,GA-12,"Boise, ID",Leadership Idaho Agriculture Foundation,Original
17,"Aug. 23, 2023 - Aug. 25, 2023",Ashley Lund,Raja Krishnamoorthi,D,IL-8,"Chesterfield, MO",St. Louis AgriBusiness Club,Original
18,"Aug. 23, 2023 - Aug. 25, 2023",Harry Fones,William Ogles,R,TN-5,"Cambridge, MD","Conservative Partnership Institute, Inc.",Original
19,"Aug. 23, 2023 - Aug. 25, 2023",Raina Hackett,Bonnie Watson Coleman,D,NJ-12,"Chesterfield, MO",St. Louis AgriBusiness Club,Original
20,"Aug. 22, 2023 - Aug. 25, 2023",J. Luis Correa,J. Luis Correa,D,CA-46,El Savador,Guatemala Prospera,Original
21,"Aug. 22, 2023 - Aug. 25, 2023",J. Luis Correa,J. Luis Correa,D,CA-46,Guatemala,Guatemala Prospera,Original
22,"Aug. 21, 2023 - Aug. 25, 2023",Kristen Kurtz,Dusty Johnson,R,SD-1,"Boise, ID",Leadership Idaho Agriculture Foundation,Original
23,"Aug. 22, 2023 - Aug. 25, 2023",J. Luis Correa,J. Luis Correa,D,CA-46,"El Savador,",Guatemala Prospera,Original
24,"Aug. 23, 2023 - Aug. 25, 2023",Laynee Buckels,Randy Weber,R,TX-14,"Cambridge, MD","Conservative Partnership Institute, Inc.",Original
25,"Aug. 23, 2023 - Aug. 25, 2023",Miranda Dabney,Kevin Hern,R,OK-1,"Cambridge, MD","Conservative Partnership Institute, Inc",Original
26,"Aug. 21, 2023 - Aug. 25, 2023",Noah Yantis,Dan Newhouse,R,WA-4,"Boise, ID",Leadership Idaho griculture Foundation,Original
27,"Aug. 21, 2023 - Aug. 25, 2023",Janie Costa,Frank D. Lucas,R,OK-3,"Boise, ID",Leadership Idaho Agriculture Foundation,Original
28,"Aug. 23, 2023 - Aug. 25, 2023",Madelyn Derks,Mark Alford,R,MO-4,"Chesterfield, MO",St. Louis AgriBusiness Club,Original
29,"Aug. 23, 2023 - Aug. 25, 2023",Mieko Kuramoto,Mark Takano,D,CA-39,"Chesterfield, MO",St. Louis AgriBusiness Club,Original
30,"Aug. 23, 2023 - Aug. 25, 2023",Lindsey Mosley,Anthony D'Esposito,R,NY-4,"Chesterfield, MO",St. Louis AgriBusiness Club,Original
31,"Aug. 23, 2023 - Aug. 25, 2023",Madeline Huffman,Andrew Clyde,R,GA-9,"Cambridge, MD","Conservative Partnership Institute, Inc.",Original
32,"Aug. 21, 2023 - Aug. 25, 2023",Nicole Pfadt,Bill Johnson,R,OH-6,"Boise, ID",Leadership Idaho Agriculture Foundation,Original
33,"Aug. 22, 2023 - Aug. 24, 2023",Christopher Perez,Dan Newhouse,R,WA-4,"Lewiston, ID","Washington Association of Wheat Growers, McGregor Company, and Northwest River Partners",Original
34,"Aug. 22, 2023 - Aug. 24, 2023",Thomas Knecht,Bruce Westerman,R,AR-4,"Lewiston, ID","Washington Association of Wheat Growers, McGregor Company, and Northwest RiverPartners",Original
35,"Aug. 22, 2023 - Aug. 24, 2023",Alexa Williams,Rick Larsen,D,WA-2,"Lewiston, ID","Washington Association of Wheat Growers, McGregor Company, and Northwest RiverPartners",Original
36,"Aug. 22, 2023 - Aug. 24, 2023",Corey Kuipers,Sam Graves,R,MO-6,"Lewiston, ID","Washington Association of Wheat Growers, McGregor Company, and Northwest RiverPartners",Original
37,"Aug. 13, 2023 - Aug. 24, 2023",Greg Casar,Greg Casar,D,TX-35,Brazil,Center for Economic and Policy Research and Foundation to Promote Open,Original
38,"Aug. 13, 2023 - Aug. 24, 2023",Greg Casar,Greg Casar,D,TX-35,Chile,Center for Economic and Policy Research and Foundation to Promote Open,Original
39,"Aug. 13, 2023 - Aug. 24, 2023",Greg Casar,Greg Casar,D,TX-35,Colombia,Center for Economic and Policy Research and Foundation to Promote Open,Original
40,"Aug. 13, 2023 - Aug. 24, 2023",Greg Casar,Greg Casar,D,TX-35,"Brazil,",Center for Economic and Policy Research and Foundation to Promote Open,Amendment
41,"Aug. 13, 2023 - Aug. 24, 2023",Greg Casar,Greg Casar,D,TX-35,"Chile,",Center for Economic and Policy Research and Foundation to Promote Open,Amendment
42,"Aug. 13, 2023 - Aug. 24, 2023",Greg Casar,Greg Casar,D,TX-35,Colombia,Center for Economic and Policy Research and Foundation to Promote Open,Amendment
43,"Aug. 13, 2023 - Aug. 24, 2023",Greg Casar,Greg Casar,D,TX-35,"Brazil,",Center for Economic and Policy Research and Foundation to Promote Open,Original
44,"Aug. 13, 2023 - Aug. 24, 2023",Greg Casar,Greg Casar,D,TX-35,"Chile,",Center for Economic and Policy Research and Foundation to Promote Open,Original
45,"Aug. 22, 2023 - Aug. 24, 2023",Logan Ferree,Rick Larsen,D,WA-2,"Lewiston, ID","Washington Association of Wheat Growers, McGregor Company, and Northwest RiverPartners",Original
46,"Aug. 22, 2023 - Aug. 24, 2023",Olivia Babine,Dan Newhouse,R,WA-4,"Lewiston, ID","Washington Association of Wheat Growers, McGregor Company, and Northwest RiverPartners",Original
47,"Aug. 22, 2023 - Aug. 24, 2023",Ryan Hambleton,Sam Graves,R,MO-6,"Lewiston, ID","Washington Association of Wheat Growers, McGregor Company, and Northwest RiverPartners",Original
48,"Aug. 22, 2023 - Aug. 24, 2023",Christen Harsha,Cathy McMorris Rodgers,R,WA-5,"Lewiston, ID","Washington Association of Wheat Growers, McGregor Company, and Northwest RiverPartners",Original
49,"Aug. 22, 2023 - Aug. 24, 2023",Joseph Grewell,Matt Rosendale,R,MT-2,"Lewiston, ID","Washington Association of Wheat Growers, McGregor Company, and Northwest RiverPartners",Original
0,"Aug. 22, 2023 - Aug. 24, 2023",Olivia Babine,Dan Newhouse,R,WA-4,"Lewistoon, ID","Washington Association of Wheat Growers, McGregor Company, and Northwest RiverPartners",Original
1,"Aug. 22, 2023 - Aug. 23, 2023",Samantha DeVito,Joe Courtney,D,CT-2,"Wilmington, DE",Jobs for the Future and Bill & Melinda Gates Foundation,Original
2,"Aug. 17, 2023 - Aug. 23, 2023",Rebecca Cornell,Pete Aguilar,D,CA-33,"Juneau, AK",American Lands Project,Original
3,"Aug. 17, 2023 - Aug. 23, 2023",Clayton Schroers,Seth Magaziner,D,RI-2,"Juneau, AK",American Lands Project,Original
4,"Aug. 22, 2023 - Aug. 23, 2023",Gianni Morsell,Alma Adams,D,NC-12,"Wilmington, DE",Jobs for the Future and Bill & Melinda Gates Foundation,Original
5,"Aug. 22, 2023 - Aug. 23, 2023",Heather Painter,Derek Kilmer,D,WA-6,"Wilmington, DE",Jobs for the Future and Bill & Melinda Gates Foundation,Original
6,"Aug. 12, 2023 - Aug. 23, 2023",Susan Wild,Susan Wild,D,PA-7,Kenya,"Aspen Institute, Inc. and Bill & Melinda Gates Foundation",Original
7,"Aug. 22, 2023 - Aug. 23, 2023",Amy Jones,Virginia Foxx,R,NC-5,"Wilmington, DE",Jobs for the Future and Bill & Melinda Gates Foundation,Original
8,"Aug. 20, 2023 - Aug. 23, 2023",Elizabeth Hone,Frank Pallone,D,NJ-6,"Aspen, CO",Technology Policy Institute,Original
9,"Aug. 22, 2023 - Aug. 23, 2023",Lyndsey Hannah,Shontel Brown,D,OH-11,"Wilmington, DE",Jobs for the Future and Bill & Melinda Gates Foundation,Original
10,"Aug. 22, 2023 - Aug. 23, 2023",Jamie Thompson,Adam B. Schiff,D,CA-30,"Wilmington, DE",Jobs for the Future and Bill & Melinda Gates Foundation,Original
11,"Aug. 19, 2023 - Aug. 22, 2023",Timothy Kurth,Cathy McMorris Rodgers,R,WA-5,"Aspen, CO",Technology Policy Institute,Original
12,"Aug. 20, 2023 - Aug. 22, 2023",Johanna Thomas,Frank Pallone,D,NJ-6,"Aspen, CO",Technology Policy Institute,Original
13,"Aug. 19, 2023 - Aug. 22, 2023",Evan Viau,Cathy McMorris Rodgers,R,WA-5,"Aspen, CO",Technology Policy Institute,Original
14,"Aug. 12, 2023 - Aug. 22, 2023",Steve Cohen,Steve Cohen,D,TN-9,Kenya,"Aspen Institute, Inc. and Bill & Melinda Gates Foundation",Original
15,"Aug. 20, 2023 - Aug. 22, 2023",John McQuinn,Zoe Lofgren,D,CA-18,"Aspen, CO",Technology Policy Institute,Original
16,"Aug. 13, 2023 - Aug. 21, 2023",Gerardo Bonilla,Alexandria Ocasio-Cortez,D,NY-14,Chile,Center for Economic and Policy Research and Foundation to Promote Open,Original
17,"Aug. 13, 2023 - Aug. 21, 2023",Gerardo Bonilla,Alexandria Ocasio-Cortez,D,NY-14,Colombia,Center for Economic and Policy Research and Foundation to Promote Open,Original
18,"Aug. 13, 2023 - Aug. 21, 2023",Renata Beca-Barragan,Nydia M. Velázquez,D,NY-7,"Brazil,",Center for Economic and Policy Research and Foundation to Promote Open Society,Original
